symbol,timeframe,days,min_score,momentum_buy_min,momentum_sell_max,sl_atr_mult,tp_rr,trades,win_rate,profit_factor,net_r,max_dd_r,score,score_delta_vs_base,net_r_delta_vs_base
BTCUSD,M15,120,8,100.3,99.7,2.3,1.9,272,18.75,0.053,-437.234,438.418,-1791.8847,9.5632,2.515
XAUUSD,M15,120,7,100.12,99.88,1.7,2.0,880,35.0,0.958,-24.935,91.424,-181.625,0.0,0.0
