symbol,timeframe,days,min_score,momentum_buy_min,momentum_sell_max,sl_atr_mult,tp_rr,trades,win_rate,profit_factor,net_r,max_dd_r,score,score_delta_vs_base,net_r_delta_vs_base
BTCUSD,M15,120,8,100.3,99.7,2.3,2.3,272,19.12,0.074,-442.461,440.751,-1810.5016,0.3198,-0.015
XAUUSD,M15,120,7,100.12,99.88,1.7,2.0,878,34.85,0.951,-28.986,91.424,-194.5616,0.0,0.0
