symbol,timeframe,days,min_score,momentum_buy_min,momentum_sell_max,sl_atr_mult,tp_rr,trades,win_rate,profit_factor,net_r,max_dd_r,score,score_delta_vs_base,net_r_delta_vs_base
BTCUSD,M15,120,8,100.3,99.7,2.3,2.3,272,19.49,0.075,-439.749,440.435,-1801.4479,6465.904,1566.648
XAUUSD,M15,120,7,100.12,99.88,1.7,2.0,880,35.0,0.958,-24.935,91.424,-181.625,1337.4086,317.354
