symbol,regime,rank,strategy,source_mix,total_trades,win_rate,profit_factor,total_pnl,max_drawdown_pct,score,production_eligible,reject_reasons
XAUUSDc,TRENDING_DOWN,3,gold_smart_money,tournament,21,28.571429,1.17,63.4,12.5,12.877577,0,"trades<30,wr<40.0"
XAUUSDc,TRENDING_DOWN,4,ranging_sniper,tournament,69,33.333333,1.12,154.62,28.8,12.135668,0,"wr<40.0,dd>25.0"
XAUUSDc,TRENDING_DOWN,5,gold_elite,tournament,39,33.333333,1.04,-1319.39,19.0,10.97851,0,"wr<40.0,pf<1.05"
XAUUSDc,TRENDING_DOWN,6,universal_sniper,tournament,125,29.6,0.91,1564.57,40.0,9.223396,0,"wr<40.0,pf<1.05,dd>25.0"
XAUUSDc,TRENDING_DOWN,7,gold_precision,tournament,28,25.0,0.96,-843.34,25.3,5.858308,0,"trades<30,wr<40.0,pf<1.05,dd>25.0"
XAUUSDc,TRENDING_DOWN,8,sniper,tournament,8,12.5,0.82,-277.56,11.6,5.796762,0,"trades<30,wr<40.0,pf<1.05"
XAUUSDc,TRENDING_DOWN,9,gold_break_checklist,tournament,31,19.354839,0.95,-1460.27,21.0,5.231875,0,"wr<40.0,pf<1.05"
XAUUSDc,TRENDING_UP,1,vfinal,tournament,292,56.164384,1.17,19578.61,22.3,41.574732,1,
XAUUSDc,TRENDING_UP,2,trend_rider,tournament,86,41.860465,1.1,3585.13,19.7,20.337105,1,
XAUUSDc,TRENDING_UP,3,gold_session_breakout,tournament,2,100.0,1.72,565.35,6.5,30.83699,0,trades<30
XAUUSDc,TRENDING_UP,4,ranging_sniper,tournament,139,39.568345,1.12,4427.77,28.8,20.978952,0,"wr<40.0,dd>25.0"
XAUUSDc,TRENDING_UP,5,gold_elite,tournament,76,50.0,1.04,1535.8,19.0,18.60109,0,pf<1.05
XAUUSDc,TRENDING_UP,6,gold_smart_money,tournament,24,33.333333,1.17,669.9,12.5,14.537337,0,"trades<30,wr<40.0"
XAUUSDc,TRENDING_UP,7,gold_precision,tournament,28,42.857143,0.96,981.08,25.3,11.13184,0,"trades<30,pf<1.05,dd>25.0"
XAUUSDc,TRENDING_UP,8,gold_break_checklist,tournament,69,30.434783,0.95,101.38,21.0,10.297511,0,"wr<40.0,pf<1.05"
XAUUSDc,TRENDING_UP,9,sniper,tournament,12,33.333333,0.82,-135.25,11.6,9.497182,0,"trades<30,wr<40.0,pf<1.05"
XAUUSDc,TRENDING_UP,10,universal_sniper,tournament,138,29.710145,0.91,935.72,40.0,8.84629,0,"wr<40.0,pf<1.05,dd>25.0"
XAUUSDc,UNKNOWN,1,vfinal,tournament,6,33.3,1.17,-164.63,22.3,15.350251,0,"trades<30,wr<40.0"
XAUUSDc,UNKNOWN,2,gold_break_checklist,tournament,2,50.0,0.95,-197.15,21.0,10.91127,0,"trades<30,pf<1.05"
XAUUSDc,UNKNOWN,3,ranging_sniper,tournament,5,20.0,1.12,-484.93,28.8,7.057586,0,"trades<30,wr<40.0,dd>25.0"
XAUUSDm,ALL,1,btc_momentum,backtest_1y,4,50.0,1.55,49.56,19.5,24.57412,0,"asset_mismatch:crypto!=gold,trades<30"
XAUUSDm,ALL,2,btc_stop_hunt,backtest_1y,6,33.3,1.34,20.82,13.0,20.19664,0,"asset_mismatch:crypto!=gold,trades<30,wr<40.0"
XAUUSDm,ALL,3,btc_mean_reversion,backtest_1y,4,50.0,1.2,25.61,19.9,20.18622,0,"asset_mismatch:crypto!=gold,trades<30"
XAUUSDm,ALL,4,usdjpy_elite,backtest_1y,13,38.5,0.94,-16.91,22.4,13.68118,0,"asset_mismatch:forex!=gold,trades<30,wr<40.0,pf<1.05"
XAUUSDm,ALL,5,silver_elite,backtest_1y,7,57.1,0.59,-63.44,23.3,13.42312,0,"asset_mismatch:silver!=gold,trades<30,pf<1.05"
XAUUSDm,TRENDING_UP,1,btc_momentum,backtest_1y,4,50.0,1.55,49.56,19.5,24.57412,0,"asset_mismatch:crypto!=gold,trades<30"
XAUUSDm,TRENDING_UP,2,btc_stop_hunt,backtest_1y,6,33.3,1.34,20.82,13.0,20.19664,0,"asset_mismatch:crypto!=gold,trades<30,wr<40.0"
XAUUSDm,TRENDING_UP,3,btc_mean_reversion,backtest_1y,4,50.0,1.2,25.61,19.9,20.18622,0,"asset_mismatch:crypto!=gold,trades<30"
XAUUSDm,TRENDING_UP,4,usdjpy_elite,backtest_1y,13,38.5,0.94,-16.91,22.4,13.68118,0,"asset_mismatch:forex!=gold,trades<30,wr<40.0,pf<1.05"
XAUUSDm,TRENDING_UP,5,silver_elite,backtest_1y,7,57.1,0.59,-63.44,23.3,13.42312,0,"asset_mismatch:silver!=gold,trades<30,pf<1.05"
