portfolio,label,win_rate,profit_factor,pnl,roi_pct,max_dd_pct,trades,score,params
10000.0,V2_ADX_ONLY,43.8,1.02,476.56,4.77,21.46,356,145.38,"{""label"":""V2_ADX_ONLY"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":48,""rsi_sell_min"":52,""adx_min"":15,""need_2candle"":false,""need_macd"":false,""session_filter"":false}"
10000.0,V2_MACD_ONLY,48.0,1.23,2256.71,22.57,6.45,173,1386.605,"{""label"":""V2_MACD_ONLY"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":48,""rsi_sell_min"":52,""adx_min"":0,""need_2candle"":false,""need_macd"":true,""session_filter"":false}"
10000.0,V2_BODY_MACD,44.2,1.06,521.96,5.22,8.79,147,380.13,"{""label"":""V2_BODY_MACD"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":48,""rsi_sell_min"":52,""adx_min"":0,""need_2candle"":true,""need_macd"":true,""session_filter"":false}"
10000.0,V2_SELL_BIAS,48.2,1.28,2117.49,21.17,11.48,139,1267.545,"{""label"":""V2_SELL_BIAS"",""ema_fast"":21,""ema_slow"":50,""rr"":2.0,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":40,""rsi_sell_min"":50,""adx_min"":12,""need_2candle"":false,""need_macd"":true,""session_filter"":false}"
10000.0,V2_SELL_ONLY,48.0,1.3,2470.21,24.7,13.24,152,1426.505,"{""label"":""V2_SELL_ONLY"",""ema_fast"":21,""ema_slow"":50,""rr"":2.0,""sl_atr"":1.5,""pb_pct"":0.35,""rsi_buy_max"":0,""rsi_sell_min"":50,""adx_min"":12,""need_2candle"":false,""need_macd"":true,""session_filter"":false}"
10000.0,V2_SESS,41.2,0.87,-1559.44,-15.59,19.11,221,-1000001559.44,"{""label"":""V2_SESS"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":48,""rsi_sell_min"":52,""adx_min"":12,""need_2candle"":false,""need_macd"":false,""session_filter"":true}"
10000.0,V2_ADX_2C,44.2,1.04,516.02,5.16,16.0,224,259.01,"{""label"":""V2_ADX_2C"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":48,""rsi_sell_min"":52,""adx_min"":12,""need_2candle"":true,""need_macd"":false,""session_filter"":false}"
10000.0,V2_RR2_MOD,48.3,1.24,2381.42,23.81,6.45,172,1455.46,"{""label"":""V2_RR2_MOD"",""ema_fast"":21,""ema_slow"":50,""rr"":2.0,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":48,""rsi_sell_min"":52,""adx_min"":12,""need_2candle"":false,""need_macd"":true,""session_filter"":false}"
10000.0,V2_TIGHT_PB,40.0,0.25,-443.04,-4.43,4.43,10,-1000000443.04,"{""label"":""V2_TIGHT_PB"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.2,""rsi_buy_max"":45,""rsi_sell_min"":55,""adx_min"":12,""need_2candle"":false,""need_macd"":true,""session_filter"":false}"
10000.0,V2_SELL_BIAS_MORE_TRADES,43.1,0.97,-541.44,-5.41,19.68,348,-1000000541.44,"{""label"":""V2_SELL_BIAS_MORE_TRADES"",""ema_fast"":21,""ema_slow"":50,""rr"":2.0,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":45,""rsi_sell_min"":45,""adx_min"":10,""need_2candle"":false,""need_macd"":true,""session_filter"":false}"
10000.0,V2_STRICT_ADX_BODY,38.5,0.49,-399.07,-3.99,4.92,13,-1000000399.07,"{""label"":""V2_STRICT_ADX_BODY"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":40,""rsi_sell_min"":55,""adx_min"":15,""need_2candle"":true,""need_macd"":true,""session_filter"":false}"
10000.0,V2_RR1.5_LOOSE,46.6,1.22,4163.78,41.64,19.2,326,2136.89,"{""label"":""V2_RR1.5_LOOSE"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.35,""rsi_buy_max"":50,""rsi_sell_min"":50,""adx_min"":12,""need_2candle"":false,""need_macd"":true,""session_filter"":false}"
10000.0,V2_SCALPER_RR1.2,48.3,1.24,2381.42,23.81,6.45,172,1455.46,"{""label"":""V2_SCALPER_RR1.2"",""ema_fast"":21,""ema_slow"":50,""rr"":1.2,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":48,""rsi_sell_min"":52,""adx_min"":12,""need_2candle"":false,""need_macd"":true,""session_filter"":false}"
