trades,win_rate,profit_factor,net_profit,max_drawdown,sl,tp,adx
298,36.577181208053695,1.2618973422961952,5882.999999999558,22.568994258197797,1.5,3.0,30
358,45.2513966480447,1.1962772729268012,4470.999999999658,26.468595761156077,1.5,2.0,30
257,43.57976653696498,1.1802681365908398,3859.000000000089,18.16285903877103,2.0,3.0,30
284,57.74647887323944,1.1289814991417098,2704.999999999978,25.502969917606517,2.5,2.0,30
233,47.63948497854077,1.1288008515758754,2782.9999999999636,19.105729812183945,2.5,3.0,30
311,51.76848874598071,1.1053667017431563,2303.0000000001655,24.40328432308464,2.0,2.0,30
353,59.20679886685553,1.1040639509836887,2174.000000000222,13.8473415034248,2.0,1.5,30
421,33.966745843230406,1.0895434187608763,2878.9999999996926,28.496181195680986,1.5,3.0,25
404,51.48514851485149,1.0698858103921243,1578.9999999996726,24.91294117647294,1.5,1.5,30
367,40.59945504087194,1.0589264310473312,1819.0000000000691,25.989152662930714,2.0,3.0,25
550,34.0,1.0552446889226077,2329.999999999887,28.7433155080205,1.5,3.0,20
532,42.857142857142854,1.0374617067833543,1283.9999999994725,25.73716439001557,1.5,2.0,25
314,45.54140127388535,1.030434070434071,929.0000000000346,21.373567335242722,2.5,3.0,25
490,60.0,1.0258854354897005,573.0000000000073,24.243317610063574,1.5,1.0,30
454,40.08810572687225,1.0234657973714198,907.0000000001237,21.54885032908584,2.0,3.0,20
326,63.190184049079754,1.0163213767946468,348.9999999999254,20.108001963670592,2.5,1.5,30
466,49.35622317596567,1.0099083708650336,318.9999999997963,25.93150467734322,2.0,2.0,25
689,65.89259796806967,1.0055356356545344,176.00000000025102,20.686193995800583,2.0,1.0,25
543,56.721915285451196,1.0042902443574049,138.0000000002965,21.912183676889338,2.0,1.5,25
410,54.390243902439025,1.0021703743895727,67.99999999969987,22.67242138641981,2.5,2.0,25
771,59.53307392996109,1.001643030093385,56.99999999967622,19.470577384244738,1.5,1.0,25
385,44.935064935064936,0.9992200107584778,-28.999999999792635,26.93838698511575,2.5,3.0,20
618,49.51456310679612,0.9987024969724924,-45.00000000003092,20.82445576655893,1.5,1.5,25
741,41.43049932523617,0.9852059091583408,-698.0000000004038,28.46418793606039,1.5,2.0,20
613,70.47308319738988,0.9802717962184904,-600.9999999999291,22.21053554211742,2.5,1.0,25
883,48.81087202718007,0.9727192964557589,-1336.9999999997035,32.92451200552532,1.5,1.5,20
436,64.90825688073394,0.9637172284644311,-774.9999999997472,23.849783720014432,2.0,1.0,30
1116,58.15412186379928,0.9588599803020303,-2005.000000000272,32.4215164310607,1.5,1.0,20
525,53.714285714285715,0.9563529353578303,-1765.0000000000637,33.38184931506964,2.5,2.0,20
745,55.43624161073826,0.9548314858358601,-2016.999999999639,33.118410734512075,2.0,1.5,20
630,61.111111111111114,0.9535840331021095,-1906.9999999998345,34.51645231334561,2.5,1.5,20
622,48.07073954983923,0.9509421924487903,-2152.9999999999764,37.40680435341557,2.0,2.0,20
820,70.0,0.9478258746551478,-2136.999999999821,35.02226179875397,2.5,1.0,20
482,60.788381742738586,0.943170519512802,-1828.9999999999882,31.43105698129699,2.5,1.5,25
961,64.62018730489075,0.9404282336456848,-2720.9999999997126,41.413237924863076,2.0,1.0,20
398,69.34673366834171,0.9284801438917106,-1510.9999999998417,21.4244851258588,2.5,1.0,30
